Tenure,NumOfProducts,HasCrCard,IsActiveMember,SatisfactionScore,GenderBinary,SurnameOrd,CardTypeOrd,CountryOrd,CreditScore,Age,Balance,EstimatedSalary,PointsEarned,TenurePoints,CardProducts,SatisfactionProducts,AgeProducts,BalanceCredit,ClusterKMeans,ClusterBGM
2,2,1,0,2,0,0.0,1.0,1,709,35,0.0,104982.39,422,0.004739336492890996,0.5,1.0,17.5,0.0,1,3
1,1,1,1,1,0,0.0,2.0,2,744,29,43504.42,119327.75,607,0.0016474464579901153,2.0,1.0,29.0,58.47368279569892,0,2
2,1,0,1,1,0,0.0,0.0,2,773,64,145578.28,186172.85,630,0.0031746031746031746,0.0,1.0,64.0,188.32895213454074,0,2
4,1,1,0,1,1,2.0,2.0,3,646,29,105957.44,15470.91,345,0.011594202898550725,2.0,1.0,29.0,164.02080495356037,0,2
8,2,0,1,3,1,0.0,0.0,2,675,57,0.0,95463.29,632,0.012658227848101266,0.0,1.5,28.5,0.0,1,3
10,1,1,0,1,0,0.0,2.0,3,745,48,96048.55,74510.65,701,0.014265335235378032,2.0,1.0,48.0,128.92422818791945,0,2
2,1,1,1,3,0,0.0,2.0,3,507,31,134237.07,166423.66,481,0.004158004158004158,2.0,3.0,31.0,264.76739644970417,0,2
1,1,1,1,3,0,0.0,2.0,3,714,53,99141.86,72496.05,1000,0.001,2.0,3.0,53.0,138.85414565826332,0,2
1,2,0,0,2,1,0.0,0.0,2,558,45,153697.53,89891.4,351,0.002849002849002849,0.0,1.0,22.5,275.44360215053763,0,1
6,2,1,1,1,1,0.0,2.0,1,643,35,0.0,41549.64,704,0.008522727272727272,1.0,0.5,17.5,0.0,1,3
8,2,0,1,1,1,0.0,2.0,2,683,42,0.0,198134.9,919,0.008705114254624592,1.0,0.5,21.0,0.0,1,3
8,2,1,1,1,0,0.0,2.0,3,477,48,129250.0,157937.35,885,0.00903954802259887,1.0,0.5,24.0,270.9643605870021,0,1
0,1,0,0,2,0,0.0,2.0,3,725,19,75888.2,45613.75,406,0.0,2.0,2.0,19.0,104.67337931034483,0,2
5,1,0,1,5,1,0.0,0.0,3,570,57,86568.75,103660.31,307,0.016286644951140065,0.0,5.0,57.0,151.875,0,2
0,1,0,0,1,0,0.0,0.0,2,643,36,148159.71,55835.66,309,0.0,0.0,1.0,36.0,230.41945567651632,0,2
6,2,0,1,1,0,0.0,0.0,3,632,42,59972.26,148172.94,491,0.012219959266802444,0.0,0.5,21.0,94.8928164556962,1,1
8,1,0,0,4,1,0.0,1.0,1,774,36,117152.3,101828.39,707,0.011315417256011316,1.0,4.0,36.0,151.35956072351422,0,2
9,1,1,1,5,0,0.0,1.0,3,710,45,108231.37,188574.08,965,0.00932642487046632,1.0,5.0,45.0,152.43854929577464,0,2
9,1,1,0,3,0,0.0,1.0,2,608,33,89968.69,68777.26,614,0.014657980456026058,1.0,3.0,33.0,147.97481907894738,0,2
8,1,0,1,3,1,0.0,2.0,2,542,43,145618.37,10350.74,292,0.0273972602739726,2.0,3.0,43.0,268.66857933579337,0,2
5,1,1,1,2,0,0.0,0.0,2,711,52,0.0,159808.95,258,0.01937984496124031,0.0,2.0,52.0,0.0,1,3
1,2,0,0,4,1,0.0,2.0,3,757,34,129398.01,44965.44,276,0.0036231884057971015,1.0,2.0,17.0,170.93528401585203,0,1
1,1,1,0,2,1,0.0,3.0,3,743,35,146781.24,189307.7,273,0.003663003663003663,3.0,2.0,35.0,197.5521399730821,0,2
4,1,1,1,3,0,3.0,3.0,2,561,21,0.0,36942.35,699,0.005722460658082976,3.0,3.0,21.0,0.0,1,3
